 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,165.000,36.000
2,0,0,0,0,156.000,36.000
3,0,0,0,0,143.500,37.500
4,0,0,0,0,131.000,40.000
5,0,63,63,63,120.000,44.500
6,0,0,0,0,110.500,47.500
7,0,0,0,0,97.500,54.000
8,0,0,0,0,84.500,62.500
9,0,0,0,0,73.500,71.000
10,0,0,0,0,65.000,80.000
11,0,0,0,0,57.000,90.500
12,0,0,0,0,49.500,102.000
13,0,0,0,0,43.500,114.000
14,0,0,0,0,38.500,126.500
15,0,0,0,0,35.000,141.000
16,0,0,0,0,33.000,154.500
17,0,0,0,0,31.500,166.500
18,0,0,0,0,33.000,179.500
19,0,0,0,0,34.500,192.000
20,0,0,0,0,37.500,205.500
21,0,0,0,0,41.000,217.000
22,0,0,0,0,46.500,228.500
23,0,0,0,0,55.500,242.000
24,0,0,0,0,63.500,252.500
25,0,0,0,0,71.000,261.500
26,0,0,0,0,80.500,270.000
27,0,0,0,0,88.500,276.000
28,0,14,14,14,100.500,282.500
29,0,0,0,0,114.000,289.500
30,0,0,0,0,126.000,294.000
31,0,2,2,2,136.500,296.500
32,0,0,0,0,147.500,298.500
33,0,0,0,0,159.000,299.500
34,0,0,0,0,170.500,299.500
35,0,0,0,0,183.500,299.000
36,0,81,81,81,197.000,295.000
37,0,0,0,0,210.000,291.500
38,0,2,2,2,220.500,287.000
39,0,0,0,0,231.500,282.000
40,0,0,0,0,242.500,274.500
41,0,159,159,159,254.500,267.000
42,0,0,0,0,263.500,256.000
43,0,3,3,3,273.500,243.500
44,0,0,0,0,281.000,233.000
45,0,9,9,9,287.000,220.000
46,0,31,31,31,292.500,207.000
47,0,64,64,64,295.500,194.500
48,0,0,0,0,298.000,182.500
49,0,0,0,0,297.500,167.500
50,0,0,0,0,298.000,152.500
51,0,82,82,82,296.000,139.000
52,0,0,0,0,291.000,123.500
53,0,0,0,0,285.000,110.500
54,0,144,144,144,279.500,98.500
55,0,0,0,0,270.500,88.500
56,0,1,1,1,263.500,79.000
57,0,0,0,0,253.000,69.000
58,0,4,4,4,244.500,62.000
59,0,0,0,0,235.000,55.500
60,0,0,0,0,226.500,50.500
61,0,0,0,0,216.500,46.000
62,0,5,5,5,203.500,42.000
63,0,0,0,0,191.500,38.500
64,0,0,0,0,178.000,36.500
